"V1","V2","V3"
"V00WOMKPR",-0.0648399249782171,0,0.759481641563441
"V00WOMKPL",0,0,0.140801287383511
"V00CESD8",0.0272612329345547,0,0
"V00CESD11",0,0.0790109435141476,0
"V00FFQ33",0,0.00309052161601126,0
"V00FFQSZ61",-0.0401699324182625,0,0
"V00FFQ64",0,0.0394048723614815,0
"V00FFQ66",0.0103931196519883,0,0
"V00SUPVITE",-0.0129044846019361,0,0
"V00DTOLEC",0,0.0348556952043161,0
"V00DTGEN",0.00262855454714559,0,0
"V00DTDAID",2.90823742492802e-06,0,0
"V00STEPST1",0,0.0927393356937024,0
"V00LKMTTPN",0,0.0308754288155609,0
"V00LKPGDPN",-0.0318049076434653,0,0
"P01RH1CV",-0.0422484870675244,0,0
"V00RFXP2CV",0.0033553586126903,0,0
"V00LEXP2CV",-0.00400575113978965,0,0
"V00400EXCL",-0.0261998881831561,0,0
"V00MARITST",0.0101118196559836,0,0
"V00PASE5",0.0133957842363251,0,0
"P02KRS3CV",-0.0200835663772557,0,0
"V00LIVENO",0,0.00927306862837237,0
"V1","V2","V3"
"P01LXRKOA",-0.0162091795230334,0,0
"P01SVRKJSM",0,0.0924872155006075,0
"P01LXRKOA2",0,0.056881105752376,0
"P01OAGRDL",0,0.0374264179621179,0
"V00WPRKN4",-0.000306214872351772,0,0
"V00WPRKN5",-0.0345563040546388,0,0
"V00KPRKN2",-0.00076703071718693,0,0
"V00DIRKN8",0,0.0338398428868781,0
"V00DIRKN11",0,0.0452300180045527,0
"V00WPLKN1",0,0,0.219469195482827
"V00WPLKN3",0,0,0.109563605777027
"V00KPLKN3",-0.132057964768893,0,0
"V00DILKN16",-0.0407480167674703,0,0
"V00KOOSFX5",-0.0457064169711837,0,0
"V00WOMKPR",0,0,0.933092457395432
"P01INJL",0.0183686105253124,0,0
"V00CESD5",0.0455995473338865,0,0
"V00CESD8",0.000249561930029444,0,0
"V00CESD11",-0.0123632880986261,0.0820645436205938,0
"V00FFQ33",0,0.0206794943540521,0
"V00FFQ35",-0.000744764630302806,0,0
"V00FFQ40",0,0.00727623221295583,0
"V00FFQ41",0.0227114802451974,0,0
"V00FFQSZ61",-0.0385803754602305,0,0
"V00FFQSZ62",0,0.0341947754694094,0
"V00FFQ64",0,0.0095835199401909,0
"V00DTSFAT",0,0.0169036916321437,0
"V00DTOLEC",0,0.0554507767354647,0
"V00RPAVG",-0.00295274429909673,0,0
"V00RLARM",0,-0.0119950062292476,0
"V00STEPST1",0,0.147122830397704,0
"V00NUMSTOP",-0.00234502704758856,0,0
"V00LKPGDPN",-0.0443311879651331,0,0
"P01RH1CV",-0.0228939574365871,0,0
"V00400EXCL",-0.0294977844126571,0,0
"V1","V2","V3"
